before,after,priority
^bone_mandible$,Bone_Mandible,
^brachialplex(u|us)?_l$,BrachialPlex_L,
^brachialplex(u|us)?_r$,BrachialPlex_R,
^brainstem(_)?$,Brainstem,
^cavity_oral$,Cavity_Oral,
^cochlear$,Cochlea_R,
^chiasm$,OpticChiasm,
^ear_internal_l$,Cochlea_L,
^ear_internal_r$,Cochlea_R,
^glnd_submand_l$,Glnd_Submand_L,
^glnd_submand_r$,Glnd_Submand_R,
^gtvp_preop$,GTVp,0
^gtvp_7000$,GTVp,1
^mandible(_)?$,Bone_Mandible,
^musc_constrictor$,Musc_Constrict,
^oesophagus$,Esophagus_S,
^opticnerve_l$,OpticNrv_L,
^opticnerve_r$,OpticNrv_R,
^opticnrv_l$,OpticNrv_L,
^opticnrv_r$,OpticNrv_R,
^oral(_)?cavity$,Cavity_Oral,
^pharangeal const$,Musc_Constrict,
^pharyn(x)?const$,Musc_Constrict,
^spinalcord_$,SpinalCord,
^submandibular_l$,Glnd_Submand_L,
^submandibular_r$,Glnd_Submand_R,
