dataset,internal
^(l|lt|left)(\s|_)?brachial(\s|_)?plexus$,BrachialPlexus_L
^(r|rt|right)(\s|_)?brachial(\s|_)?plexus$,BrachialPlexus_R
^brain$,Brain
^brain(\s|_)?stem$,BrainStem
^(l|lt|left)(\s|_)?cochlea$,Cochlea_L
^(r|rt|right)(\s|_)?cochlea$,Cochlea_R
^(l|lt|left)(\s|_)?lens$,Lens_L
^(r|rt|right)(\s|_)?lens$,Lens_R
^mandible$,Mandible
^chiasm$,OpticChiasm
^optic(\s|_)?chiasm$,OpticChiasm
^(l|lt|left)(\s|_)?optic(\s|_)?nerve$,OpticNerve_L
^(l|lt|left)(\s|_)?optic(\s|_)?n$,OpticNerve_L
^(r|rt|right)(\s|_)?optic(\s|_)?nerve$,OpticNerve_R
^(r|rt|right)(\s|_)?optic(\s|_)?n$,OpticNerve_R
^oral(\s|_)?cavity$,OralCavity
^oral(\s|_)?cavity(\s|_)?oar$,OralCavity
^(l|lt|left)(\s|_)?parotid((\s|_)?gland)?$,Parotid_L
^parotid(\s|_)?(l|lt|left)$,Parotid_L
^(r|rt|right)(\s|_)?parotid((\s|_)?gland)?$,Parotid_R
^parotid(\s|_)?(r|rt|right)$,Parotid_R
^cord$,SpinalCord
^spinal(\s|_)?cord$,SpinalCord
^(l|lt|left)(\s|_)?submandibular((\s|_)?gland)?$,Submandibular_L
^submandibular(\s|_)?(l|lt|left)$,Submandibular_L
^(r|rt|right)(\s|_)?submandibular((\s|_)?gland)?$,Submandibular_R
^submandibular(\s|_)?(r|rt|right)$,Submandibular_R

